07-Sep-2023 21:15:00 - num of feature = 2308
07-Sep-2023 21:18:20 - iter: 49/70 time: 0.567s fit: 0.01952
07-Sep-2023 21:18:21 - iter: 50/70 time: 0.565s fit: 0.019439
07-Sep-2023 21:18:22 - iter: 51/70 time: 0.572s fit: 0.016486
07-Sep-2023 21:18:22 - iter: 52/70 time: 0.56s fit: 0.016513
07-Sep-2023 21:18:23 - iter: 53/70 time: 0.551s fit: 0.017413
07-Sep-2023 21:18:23 - iter: 54/70 time: 0.55s fit: 0.015824
07-Sep-2023 21:18:24 - iter: 55/70 time: 0.565s fit: 0.018933
07-Sep-2023 21:18:24 - iter: 56/70 time: 0.547s fit: 0.016978
07-Sep-2023 21:18:25 - iter: 57/70 time: 0.55s fit: 0.017895
07-Sep-2023 21:18:25 - iter: 58/70 time: 0.547s fit: 0.015868
07-Sep-2023 21:18:26 - iter: 59/70 time: 0.552s fit: 0.016937
07-Sep-2023 21:18:27 - iter: 60/70 time: 0.55s fit: 0.018552
